seller_id,avg_delivery_days,avg_score,order_count
001cca7ae9ae17fb1caed9dfb1094831,12.628205128205128,3.902542372881356,239
002100f778ceb8431b7a1020ff7ab48f,15.636363636363637,3.982142857142857,56
004c9cd9d87a3c30c522c48c4fc07416,14.327586206896552,4.132947976878612,176
00720abe85ba0859807595bbf045a33b,8.153846153846153,3.6538461538461537,26
00ee68308b45bc5e2660cd833c3f81cc,8.693641618497109,4.3313953488372094,173
00fc707aaaad2d31347cf883cd2dfe10,15.21830985915493,3.7375886524822697,142
013900e863eace745d3ec7614cab5b1a,11.038461538461538,4.730769230769231,26
0176f73cc1195f367f7b32db1e5b3aa8,12.947368421052632,4.0256410256410255,39
01cf7e3d21494c41fb86034f2e714fa1,11.076923076923077,4.212121212121212,67
01fd077212124329bac32490e8ef80d9,7.666666666666667,4.3076923076923075,39
01fdefa7697d26ad920e9e0346d4bd1b,10.276923076923078,4.346153846153846,131
0241d4d5d36f10f80c644447315af0bd,10.465863453815262,4.278225806451613,249
02ecc2a19303f05e59ce133fd923fff7,10.375,4.541666666666667,24
02f5837340d7eb4f653d676c7256523a,9.166666666666666,4.833333333333333,30
02f623a8eb246f3c5f7c2f96462654e6,8.068181818181818,4.558139534883721,44
04308b1ee57b6625f47df1d56f00eedf,18.42391304347826,3.882978723404255,94
0432ead42b6c8a0bdf68154add917fdf,8.333333333333334,4.477777777777778,90
048c2757535328e0d7dac690ad3c0aae,18.04,4.18,51
04e38a233f726ef161074ab1c9b0399a,11.083333333333334,3.7857142857142856,28
0509040ea3fe50071181bbc359eb7738,10.979166666666666,4.5,98
054694fa03fe82cec4b7551487331d74,29.714285714285715,3.3636363636363638,22
056b4ada5bbc2c50cc7842547dda6b51,12.307692307692308,4.123076923076923,66
058fd0aa2bfdb2274e05e1ae971dabb6,9.703125,4.384615384615385,65
05d2173d43ea568aa0540eba70d2ca76,14.257575757575758,4.0,66
05f51e13da97139648b8125c31e5f51b,11.916666666666666,4.095238095238095,63
05ff92fedb5be47920fea08e501238b9,12.241935483870968,4.171875,64
062ce95fa2ad4dfaedfc79260130565f,12.745762711864407,3.966666666666667,60
06579cb253ecd5a3a12a9e6eb6bf8f47,10.485714285714286,3.763888888888889,72
066a6914e1ebf3ea95a216c73a986b91,13.63888888888889,3.9726027397260273,74
0691148aee60ca47977c187804f935ae,12.62962962962963,4.0,54
06a2c3af7b3aee5d69171b0e14f0ee87,17.277915632754343,4.00250626566416,406
06df0c10d34e459d9672bc77388742eb,9.2,4.366666666666666,30
06e5eefc71ec47ae763c5c6f8db7064f,10.53763440860215,3.903225806451613,95
070d165398b553f3b4b851c216b8a358,10.631578947368421,3.5,39
0725b8c0f3f906e58f70cbe76b7c748c,11.282051282051283,3.575,40
07bf9669d84d1f11be443a9dd938f698,8.291666666666666,3.25,24
080102cd0a76b09e0dcf55fcacc60e05,9.296875,4.492307692307692,130
080199a181c46c657dc5aa235411be3b,7.626506024096385,4.609756097560975,83
082e0bf4cb865a6533b1e8e498cc0255,12.73913043478261,3.3043478260869565,23
08633c14ef2db992c11f840f04fad4cd,9.721649484536082,4.237113402061856,97
0885aaf116795758dfeb5f1032487bcd,5.241379310344827,4.2,30
08d2d642cf72b622b14dde1d2f5eb2f5,14.333333333333334,4.428571428571429,22
093805f8f2aeb63881444571e1f48f30,7.7407407407407405,3.814814814814815,27
099095b050cfe8eb1ddff5317587e96e,10.0,2.95,20
09f952a5f58d2285b0372551ae8f9b01,12.660714285714286,3.875,56
0adac9fbd9a2b63cccaac4f8756c1ca8,12.325925925925926,3.887323943661972,143
0afccdb8a34ee5c79f7c06faf2b4d56e,12.958333333333334,4.041666666666667,25
0b35c634521043bf4b47e21547b99ab5,16.92207792207792,3.4935064935064934,78
